Condition_x,Coordinates,Condition_y
GOOD,"49.21015584176733, -123.06610211826114",
GOOD,"49.21017466021241, -123.0739763787787",
,"49.210182188336574, -123.10220436272972",Very Good
,"49.21020355128117, -123.12221077903715",Fair
VERY POOR,"49.21021646912307, -123.10226938063633",
,"49.21022424448588, -123.10233936335923",Very Good
,"49.21024847432421, -123.06234347422311",Good
VERY POOR,"49.21024885863047, -123.12220780087996",
,"49.21024983465962, -123.09395079369246",Good
POOR,"49.21025034146159, -123.0940184455322",
,"49.21027251667674, -123.12406800823165",Very Good
,"49.210274715691504, -123.12420528217824",Good
,"49.210287809618066, -123.06216056983985",Good
,"49.210293472069566, -123.12220711513875",Poor
VERY GOOD,"49.210302834502905, -123.13777856126325",
,"49.210304556269776, -123.12597454155272",Very Good
FAIR,"49.21030599051944, -123.12604135873475",
VERY GOOD,"49.21031088367027, -123.08072868189817",
POOR,"49.210318226367335, -123.08210923863423",
,"49.21039170143261, -123.07633364665521",Very Good
,"49.21039603785057, -123.06527189348857",Very Good
,"49.210444648827, -123.07798717660289",Very Good
,"49.2104810982657, -123.14124888742816",Very Good
,"49.21048306376863, -123.0568851613334",Fair
,"49.21048898454767, -123.06524888454918",Very Good
,"49.21049279760367, -123.11864925403314",Fair
VERY GOOD,"49.21049756074858, -123.11857380920529",
,"49.21050406476419, -123.11850575001868",Very Good
,"49.21050683273877, -123.06158423795772",Good
,"49.21050685486702, -123.14283388662184",Good
,"49.2105156037914, -123.11609358758197",Very Good
,"49.21052497269583, -123.07123917712053",Very Good
VERY POOR,"49.21052616665211, -123.14124917295851",
VERY GOOD,"49.210531812454526, -123.0713073987105",
,"49.210533022683435, -123.1444428735328",Fair
FAIR,"49.21055179688193, -123.14282762485296",
VERY GOOD,"49.21056270331454, -123.04189147357755",
