Coordinates,Amenity
"49.21866654105802, -123.04136255729533",bikeways
"49.218698, -123.063266",parks
"49.21878775622851, -123.07397802936921",bikeways
"49.2187965556066, -123.14826990238954",bikeways
"49.21887097473202, -123.14987304565673",bikeways
"49.21891867448021, -123.05055599984932",bikeways
"49.219000753045634, -123.09773739088232",bikeways
"49.2190065441402, -123.1761502264474",bikeways
"49.219033, -123.1169049",gardens
"49.21908800322136, -123.08007525819787",bikeways
"49.21912, -123.033713",parks
"49.21917085261653, -123.10617560393327",bikeways
"49.21923086856864, -123.14825370403825",bikeways
"49.21928878741847, -123.073972141923",bikeways
"49.219380799067466, -123.03582905","schools, schools"
"49.21942351410437, -123.09771533405404",bikeways
"49.21943912758458, -123.04132628303884",bikeways
"49.21955601324672, -123.1238131056803",bikeways
"49.219558096758895, -123.07435813803326",bikeways
"49.219569023096334, -123.1482409734438",bikeways
"49.21965535208097, -123.18768915196243",bikeways
"49.21974024613948, -123.09769900375025",bikeways
"49.21977225376071, -123.0747448206113",bikeways
"49.21979231327743, -123.05055383321911",bikeways
"49.219801914378195, -123.14823199141658",bikeways
"49.21981073073581, -123.08020932804729",bikeways
"49.21994732417349, -123.04130188151257",bikeways
"49.21995500051271, -123.09768748115539",bikeways
"49.21995854531408, -123.17612382742088",bikeways
"49.22002017684741, -123.10614832107606",bikeways
"49.220024, -123.028777",parks
"49.220115926013904, -123.02907370038434",dog_parks
"49.22019579935339, -123.07473337707808",bikeways
"49.22025462634185, -123.08024318894383",bikeways
"49.220271, -123.0293224",gardens
"49.22040188160305, -123.11671795908174",bikeways
"49.22043072571577, -123.04127730719016",bikeways
"49.220439256067465, -123.07063159999998",schools
"49.220451232285846, -123.09766629819741",bikeways
"49.22062408805095, -123.12377737752281",bikeways
"49.22064030106746, -123.02774835",schools
"49.22064281002765, -123.05053337878896",bikeways
"49.22069854861488, -123.10612584114838",bikeways
"49.22075112598147, -123.15857957286069",bikeways
"49.220813, -123.170066",parks
"49.22086440229633, -123.148190962845",bikeways
"49.22090189279646, -123.09764823225305",bikeways
"49.220955003822894, -123.17609616136033",bikeways
"49.22098, -123.16864",ev_charging
"49.2209834, -123.1505481",gardens
"49.22104214306744, -123.08804322","schools, schools"
"49.22105956806746, -123.12561546",schools
"49.221086512192365, -123.07469661381813",bikeways
"49.22114084933385, -123.0976386349552",bikeways
"49.22115734722045, -123.0802085251445",bikeways
"49.22120240590703, -123.04123612117624",bikeways
"49.22130853, -123.1186284",gardens
"49.221371, -123.11211",parks
"49.221376957372655, -123.12375210350069",bikeways
"49.221411, -123.117988",parks
"49.221478565848116, -123.05049123262229",bikeways
"49.221493, -123.1683146",gardens
"49.221591456351774, -123.09762060876659",bikeways
"49.221596673067474, -123.0557042",schools
"49.221602964595576, -123.10609582591452",bikeways
"49.221889967719086, -123.04119934822104",bikeways
"49.22193204772795, -123.17606903086764",bikeways
"49.22197743898441, -123.05046558696782",bikeways
"49.222045684629315, -123.0801746803684",bikeways
"49.222282, -123.10009",ev_charging
"49.22231411923356, -123.1601670444514",bikeways
"49.22233319119641, -123.11664166554341",bikeways
"49.22235386, -123.09795356",gardens
"49.222364759993916, -123.09759769923545",bikeways
"49.2223674673207, -123.12371922917004",bikeways
"49.22238427059747, -123.05044467809839",bikeways
"49.22243553, -123.1591984",ev_charging
"49.22250326804442, -123.04116615806112",bikeways
"49.222507053214976, -123.10606622706251",bikeways
"49.222561, -123.096916",parks
"49.22256437349405, -123.07463600525739",bikeways
"49.222569588067465, -123.09527169",schools
"49.22258615162777, -123.14812422659712",bikeways
"49.22263615830303, -123.08015237509865",bikeways
"49.222730378580586, -123.16210500641179",bikeways
"49.222836911515465, -123.1522281378683",bikeways
"49.22286659427, -123.100610434694","cultural, cultural, cultural, cultural, cultural"
"49.22292742096451, -123.1760414192619",bikeways
"49.22306056659905, -123.04113625396002",bikeways
"49.223085278937766, -123.09719189306688",dog_parks
"49.223222667396854, -123.08012970982276",bikeways
"49.223232826896634, -123.04112719977964",bikeways
"49.22323467231236, -123.05040120471091",bikeways
"49.22325547464975, -123.1233486677828",bikeways
"49.22327040078484, -123.09757616206252",bikeways
"49.22328320012911, -123.12266472948788",bikeways
"49.223300162003056, -123.10604050360018",bikeways
"49.223320602811, -123.19118081130402",bikeways
"49.22338, -123.070491",parks
"49.22339095745762, -123.12198006576126",bikeways
"49.223398782670216, -123.11659928031582",bikeways
"49.22344942908943, -123.16315374700861",bikeways
"49.22345235672736, -123.04111584030412",bikeways
"49.223501790005166, -123.12129235874727",bikeways
"49.2236298788318, -123.09043660164993",parking
"49.22363330682469, -123.09117937218745","parking, parking"
"49.223635025709136, -123.09137190572585",parking
"49.22364063448087, -123.0745920917175",bikeways
"49.223641498414885, -123.08011390901966",bikeways
"49.22367758831797, -123.04110362230026",bikeways
"49.2236866, -123.1989191","cultural, cultural, cultural, cultural, cultural"
"49.223703, -123.16013",parks
"49.22371829280779, -123.0907011339182",parking
